n,EletsNonTries_Meilleur,EletsNonTries_Pire,EletsTries_Meilleur,EletsTries_Pire,EletsTriesDicho_Meilleur,EletsTriesDicho_Pire
100000,0.00,234.00,0.00,232.00,0.00,0.00
200000,0.00,466.00,0.00,468.00,0.00,0.00
400000,0.00,935.00,0.00,946.00,0.00,0.00
600000,0.00,1432.00,0.00,1449.00,0.00,0.00
800000,0.00,1915.00,0.00,1973.00,1.00,0.00
1000000,0.00,2416.00,0.00,2841.00,0.00,0.00
1200000,0.00,3109.00,0.00,3240.00,0.00,0.00
1400000,0.00,3368.00,0.00,3482.00,0.00,0.00
1600000,0.00,3900.00,0.00,3948.00,0.00,0.00
1800000,0.00,4400.00,0.00,4419.00,0.00,0.00
