Taille(n);TriBulle;TriBulleOpt;TriGnome;TriBase;TriRapide;TriTas
100;60.00;40.80;32.40;20.60;11.40;15.60
200;221.60;158.00;131.40;39.60;23.20;35.80
500;1251.60;802.40;585.00;49.20;70.80;105.20
800;2120.00;1165.20;1013.00;47.00;70.80;108.20
1000;2405.00;1317.60;1094.20;52.60;71.20;111.60
1500;3942.80;2498.40;2133.60;60.20;92.20;153.20
2000;5960.40;4209.20;3572.60;77.40;123.80;200.40
3000;13476.80;9152.80;8458.80;117.40;192.60;316.00
5000;38482.00;26372.60;22818.40;186.20;337.60;574.60
10000;153824.80;106393.20;94994.40;378.00;719.40;1268.00
